order_id,order_date,cuisine,price,restaurant_id,order_time,pickup_time,delivered_time,day,quantity,order_value,customer_id,restaurant_lat,restaurant_lon,customer_lat,customer_lon,distance_km,repeat_order,status,payment_method,delivery_minutes,rating
ORD2022000024,26-12-2022,Thai,615.44,R22,13:50,13:59,14:34,Saturday,1,709.18,C091,11.92,57.53,12.62,64.99,2.9,Yes,Delivered,UPI,44,4
ORD2022000025,03-09-2022,Indian,404.3,R5,19:44,19:58,20:15,Monday,2,373.17,C028,12.04,75.03,11.03,68.37,4.25,No,Delivered,Cash,31,3
ORD2022000026,16-01-2022,Mexican,873.3,R16,20:32,20:46,21:45,Wednesday,1,482.76,C077,10.05,72.84,12.54,70.49,2.99,Yes,Delivered,UPI,73,2
ORD2022000027,08-06-2022,Italian,364.5,R3,18:15,18:22,19:05,Thursday,1,561.55,C081,10.19,62.79,11.25,69.08,5.7,Yes,Delivered,UPI,50,4
ORD2022000028,22-09-2022,Italian,845.6,R39,02:33,02:44,03:51,Tuesday,2,165.89,C051,9.94,71.17,12.1,62.2,3.94,Yes,Delivered,Cash,78,3
ORD2022000029,02-05-2022,Thai,876.87,R33,01:23,01:31,02:06,Thursday,3,273.84,C045,12.24,63.78,9.53,66.08,1.79,Yes,Delivered,UPI,43,4
ORD2022000030,10-01-2022,Thai,814.42,R27,23:11,23:23,01:01,Tuesday,1,410.32,C060,9.51,58.5,12.37,75.03,2.22,Yes,Delivered,UPI,110,4
ORD2022000031,23-12-2022,Indian,70.08,R3,01:18,01:23,01:56,Friday,3,163.04,C054,9.85,56.38,9.98,74.44,5.37,Yes,Delivered,UPI,38,4
ORD2022000032,25-03-2022,Indian,860.21,R35,04:21,04:29,04:59,Friday,2,407.56,C070,12.61,64.61,12.48,63.93,3.08,Yes,Delivered,UPI,38,4
ORD2022000033,25-12-2022,Italian,762.48,R28,00:33,00:48,02:15,Monday,2,643.26,C061,10.45,74.85,10.34,63.72,4.33,Yes,Cancelled,UPI,102,3
ORD2022000034,22-07-2022,Italian,406.66,R42,19:41,19:52,21:17,Thursday,3,442.1,C051,10.6,65,10.24,67.26,4.16,No,Delivered,Cash,96,3
ORD2022000035,08-10-2022,Sushi,380.9,R9,01:58,02:08,02:41,Friday,1,481.24,C084,11.32,71.76,9.9,56.29,2.51,Yes,Cancelled,Cash,43,4
ORD2022000036,15-11-2022,Mexican,380.95,R45,06:48,07:01,08:01,Wednesday,2,669.88,C097,10.69,74.04,10.34,72.22,3.97,Yes,Delivered,UPI,73,2
ORD2022000037,17-10-2022,Burgers,321.13,R40,04:43,04:54,05:28,Monday,2,534.41,C026,12.22,67.56,11.44,58.61,2.29,No,Returned,UPI,45,3
ORD2022000038,04-02-2022,Indian,245.63,R21,09:09,09:22,10:09,Saturday,3,622.91,C003,11.73,59.35,12.36,63.26,1.73,Yes,Delivered,UPI,60,4
ORD2022000039,08-09-2022,Sushi,840,R48,07:10,07:24,08:53,Friday,2,434.87,C074,12.19,68.2,10.06,74.64,3.93,No,Delivered,Cash,103,4
ORD2022000040,16-12-2022,Indian,62.07,R7,01:37,01:44,03:15,Sunday,1,663.58,C081,9.49,72.89,9.84,70.25,3.59,Yes,Delivered,UPI,98,3
ORD2022000041,24-04-2022,Sushi,814.34,R3,04:04,04:19,05:34,Thursday,1,561.55,C081,10.19,62.79,11.25,69.08,5.7,Yes,Delivered,UPI,90,3
ORD2022000042,17-05-2022,Chinese,93.32,R2,04:48,05:01,05:59,Saturday,3,361.86,C100,11.67,64.11,12.57,58.78,3.79,Yes,Delivered,Cash,71,4
ORD2022000043,11-01-2022,Sushi,286.35,R20,19:00,19:08,20:24,Monday,2,413.99,C054,11.78,56.92,12.65,59.18,1.78,No,Delivered,Cash,84,5
ORD2022000044,18-12-2022,Thai,404.85,R40,04:49,04:57,06:19,Thursday,1,749.22,C048,9.56,68.16,10.45,62.02,3.43,Yes,Cancelled,UPI,90,3
ORD2022000045,04-11-2022,Italian,494.47,R11,10:01,10:13,11:14,Thursday,2,496.99,C079,12.34,73.89,11.89,67.81,5.8,Yes,Delivered,UPI,73,3
ORD2022000046,01-01-2022,Indian,325.49,R41,00:49,01:04,01:58,Monday,2,442.67,C002,11.72,63.12,10.56,66.05,2.69,Yes,Delivered,Cash,69,2
ORD2022000047,05-01-2022,Thai,878.35,R48,23:34,23:48,00:09,Tuesday,3,236.47,C087,11.37,69.95,11.45,59.51,3.57,No,Delivered,Cash,35,4
ORD2022000048,23-06-2022,Indian,681.75,R11,07:53,07:59,09:03,Wednesday,1,293.44,C090,9.76,62.78,10.42,65.18,0.74,No,Delivered,UPI,70,3
ORD2022000049,20-05-2022,Chinese,68.66,R28,22:23,22:35,23:28,Monday,3,634.91,C068,10.16,63.92,10.38,57.01,1.31,Yes,Delivered,UPI,65,3
ORD2022000050,04-06-2022,Sushi,738.66,R12,09:20,09:25,10:02,Saturday,2,586.57,C080,11.74,70.42,9.99,60.82,2.24,No,Delivered,Cash,42,3
ORD2022000051,24-01-2022,Indian,787.36,R39,13:37,13:48,14:19,Saturday,3,219.79,C003,10.4,71.57,12.3,70.36,2.09,Yes,Delivered,UPI,42,4
ORD2022000052,12-08-2022,Thai,823.11,R3,06:21,06:26,08:10,Thursday,1,561.55,C081,10.19,62.79,11.25,69.08,5.7,Yes,Delivered,UPI,109,4
ORD2022000053,22-01-2022,Burgers,893.99,R41,03:58,04:09,05:53,Monday,2,442.67,C002,11.72,63.12,10.56,66.05,2.69,Yes,Delivered,Cash,115,3
ORD2022000054,03-02-2022,Mexican,682.43,R10,09:27,09:33,10:57,Saturday,1,290.46,C055,10.66,69.29,10.83,70.91,1.7,No,Cancelled,Cash,90,4
ORD2022000055,25-09-2022,Sushi,882.57,R48,22:58,23:13,00:07,Wednesday,1,621.82,C017,11.76,68.35,10.05,69.35,4.2,Yes,Delivered,Cash,69,4
ORD2022000056,11-06-2022,Chinese,721.54,R48,15:05,15:12,15:59,Tuesday,2,346.53,C008,11.13,60.38,9.79,56.86,2.84,Yes,Delivered,UPI,54,3
ORD2022000057,24-09-2022,Sushi,156.8,R42,12:41,12:56,13:59,Thursday,3,442.1,C051,10.6,65,10.24,67.26,4.16,No,Delivered,Cash,78,4
ORD2022000058,24-06-2022,Italian,773.19,R9,23:12,23:22,00:37,Sunday,2,522.97,C040,12.62,59.15,10.15,58.42,5.28,Yes,Delivered,UPI,85,4
ORD2022000059,04-11-2022,Italian,167.11,R17,00:20,00:26,01:11,Friday,3,617.11,C013,10.7,58.71,9.67,62.98,2.14,Yes,Delivered,UPI,51,3
ORD2022000060,09-01-2022,Mexican,822.85,R5,14:38,14:46,15:19,Sunday,3,235.45,C059,12.22,69.92,11.11,61.11,3.47,Yes,Delivered,Cash,41,3
ORD2022000061,14-07-2022,Indian,747.86,R26,09:33,09:48,10:28,Tuesday,1,672.35,C041,11.39,65.15,10.32,70.14,3.25,No,Delivered,UPI,55,3
ORD2022000062,22-06-2022,Dessert,374.64,R5,09:48,09:56,10:58,Saturday,2,227.04,C023,11.18,65.36,9.92,74.21,5.14,No,Delivered,Cash,70,4
ORD2022000063,24-06-2022,Burgers,375.44,R6,02:57,03:06,04:31,Tuesday,1,479.52,C003,10.63,75.32,9.86,62.86,1.6,No,Delivered,UPI,94,4
ORD2022000064,26-03-2022,Italian,577.5,R47,05:50,05:57,06:58,Monday,2,502.65,C098,9.66,74.12,10.17,69.35,1.93,Yes,Delivered,UPI,68,4
ORD2022000065,26-06-2022,Indian,316.63,R11,01:05,01:15,02:01,Thursday,2,496.99,C079,12.34,73.89,11.89,67.81,5.8,Yes,Delivered,UPI,56,3
ORD2022000066,05-02-2022,Thai,57.74,R32,02:12,02:20,04:01,Saturday,1,365.44,C002,11.17,63.85,10.89,67.54,2.95,No,Delivered,UPI,109,2
ORD2022000067,21-12-2022,Chinese,831.74,R15,06:03,06:17,07:53,Sunday,2,288.16,C054,10.08,59.02,10.05,65.56,2.17,No,Delivered,UPI,110,4
ORD2022000068,14-02-2022,Dessert,383.48,R26,19:10,19:18,20:24,Tuesday,1,672.35,C041,11.39,65.15,10.32,70.14,3.25,No,Delivered,UPI,74,3
ORD2022000069,25-11-2022,Mexican,715.99,R44,17:41,17:46,19:31,Thursday,2,153.28,C003,10.24,75.06,9.61,73.65,2.73,Yes,Delivered,UPI,110,3
ORD2022000070,14-04-2022,Dessert,844.08,R8,08:36,08:50,10:26,Saturday,3,344.11,C010,12.14,65.09,10.83,66.67,3.17,Yes,Delivered,UPI,110,5
ORD2022000071,11-07-2022,Thai,867.82,R30,00:45,00:54,01:29,Wednesday,2,437.02,C018,10.01,66.7,12.06,69.8,3.95,Yes,Delivered,UPI,44,3
ORD2022000072,04-07-2022,Thai,890.54,R46,15:22,15:27,16:32,Sunday,1,395.03,C062,10.27,58.78,10.79,62.63,3.01,Yes,Delivered,UPI,70,3
ORD2022000073,13-01-2022,Burgers,137.16,R44,09:19,09:24,10:11,Saturday,2,471.01,C064,10.61,66.82,12.19,68.51,4.42,No,Cancelled,Cash,52,3
ORD2022000074,05-02-2022,Italian,617.04,R28,11:49,12:00,13:30,Saturday,3,263.37,C065,12.34,74.25,10.53,75.23,1.05,No,Delivered,UPI,101,4
ORD2022000075,11-12-2022,Indian,467.2,R37,18:47,18:56,19:28,Friday,1,661.21,C034,9.88,69,12.26,60.12,2.51,Yes,Delivered,UPI,41,3
ORD2022000076,07-02-2022,Mexican,895.32,R20,05:53,06:05,07:26,Monday,2,658.08,C076,12.03,67.88,9.74,60.71,4.06,Yes,Delivered,Cash,93,4
ORD2022000077,25-12-2022,Indian,755.89,R9,00:18,00:25,02:09,Thursday,1,621.86,C058,10.27,62.5,11.02,67.5,3.92,Yes,Delivered,Cash,111,4
ORD2022000078,16-02-2022,Dessert,745.92,R16,02:17,02:26,03:13,Sunday,2,522.43,C055,10.95,61.19,9.89,65.15,3.53,Yes,Cancelled,UPI,56,4
ORD2022000079,12-03-2022,Chinese,302.01,R5,22:04,22:11,23:17,Wednesday,2,216.55,C090,12.56,69.99,10.33,69.91,5.85,Yes,Delivered,Cash,73,4
ORD2022000080,01-09-2022,Thai,208.27,R32,22:00,22:12,22:59,Tuesday,1,381.14,C066,12.01,59.15,10.93,57.34,5.15,Yes,Delivered,UPI,59,4
ORD2022000081,23-04-2022,Italian,778.67,R39,01:26,01:33,03:11,Monday,2,428.24,C095,11.54,63.51,12.22,57.51,4.36,No,Delivered,Cash,105,3
ORD2022000082,17-02-2022,Thai,74.71,R47,05:15,05:25,06:29,Monday,2,502.65,C098,9.66,74.12,10.17,69.35,1.93,Yes,Delivered,UPI,74,3
ORD2022000083,05-02-2022,Sushi,745.92,R35,12:53,13:00,13:39,Saturday,2,240.56,C066,10.33,65.25,12.42,63.16,4.63,Yes,Delivered,UPI,46,3
ORD2022000084,15-03-2022,Sushi,609.1,R30,23:00,23:05,00:30,Tuesday,1,369.94,C011,10,67.65,12.18,61.2,5.36,Yes,Delivered,UPI,90,3
ORD2022000085,18-07-2022,Chinese,860.17,R23,20:51,21:00,22:07,Tuesday,2,202.03,C074,11.01,73.87,12.58,72.35,5.11,No,Delivered,UPI,76,4
ORD2022000086,26-09-2022,Chinese,287.04,R18,05:27,05:39,07:00,Thursday,1,169.8,C052,11.42,65.65,10.41,58.24,2.71,Yes,Delivered,Cash,93,3
ORD2022000087,09-06-2022,Sushi,106.24,R42,06:54,07:05,08:11,Tuesday,3,384.7,C099,10.53,71.02,12.62,73.24,3.12,Yes,Delivered,Cash,77,4
ORD2022000088,20-02-2022,Sushi,316.5,R6,02:39,02:47,04:03,Wednesday,1,240.55,C056,9.5,61.93,11.14,56.05,4.54,Yes,Delivered,Cash,84,3
ORD2022000089,20-05-2022,Chinese,432.47,R46,17:53,18:05,19:07,Saturday,3,373.73,C061,11.01,65.17,12.15,63.27,3.51,Yes,Delivered,UPI,74,3
ORD2022000090,01-08-2022,Thai,851.88,R28,10:32,10:47,12:32,Monday,1,449.83,C069,12.07,72.39,9.72,70.05,4.9,Yes,Returned,UPI,120,3
ORD2022000091,18-03-2022,Burgers,628.28,R14,16:59,17:09,17:52,Monday,2,577.45,C062,11.01,59,11.72,62.81,4.71,No,Delivered,Cash,53,3
ORD2022000092,11-09-2022,Italian,715.31,R5,08:06,08:11,10:04,Wednesday,1,301.15,C088,10.03,59.1,10.4,71.97,2.87,Yes,Delivered,UPI,118,4
ORD2022000093,11-06-2022,Thai,547.09,R43,21:24,21:30,23:08,Thursday,2,482.89,C063,11.98,58.94,9.42,72.53,4.88,Yes,Cancelled,UPI,104,3
ORD2022000094,18-03-2022,Thai,693.56,R49,11:52,12:03,13:32,Tuesday,2,674.57,C095,9.74,71.76,10.64,56.19,6.47,Yes,Cancelled,UPI,100,4
ORD2022000095,05-10-2022,Sushi,411.45,R41,14:29,14:35,16:19,Monday,2,442.67,C002,11.72,63.12,10.56,66.05,2.69,Yes,Delivered,Cash,110,3
ORD2022000096,17-02-2022,Thai,157.79,R34,06:57,07:07,07:57,Wednesday,1,138.69,C043,11.9,67.98,12.63,56.38,3,No,Delivered,UPI,60,3
ORD2022000097,22-08-2022,Burgers,290.53,R17,16:20,16:30,17:33,Thursday,2,655.58,C065,9.93,59.16,10.91,58.78,3.85,Yes,Delivered,Cash,73,4
ORD2022000098,23-07-2022,Italian,866.84,R34,11:31,11:38,12:52,Tuesday,1,632.13,C099,10.98,67.96,12.4,75.79,5.09,Yes,Delivered,UPI,81,4
ORD2022000099,23-07-2022,Thai,881.63,R26,06:13,06:28,07:44,Wednesday,3,500.99,C055,12.4,62.88,9.39,71.98,2.46,No,Delivered,UPI,91,3
ORD2022000100,17-04-2022,Chinese,795.51,R37,02:31,02:41,03:44,Thursday,2,158,C054,10.35,67.19,11.1,65.44,4.06,No,Returned,UPI,73,4
ORD2022000101,10-06-2022,Chinese,603.82,R19,14:02,14:08,15:46,Friday,2,324.41,C025,12.47,66.28,12.5,74.35,5.79,No,Cancelled,UPI,104,4
ORD2022000102,20-06-2022,Thai,235.15,R43,20:17,20:25,21:15,Friday,1,332.08,C096,11.25,71.99,9.58,60.06,2.81,No,Delivered,Cash,58,4
ORD2022000103,27-12-2022,Burgers,215.55,R46,22:26,22:40,23:33,Saturday,3,373.73,C061,11.01,65.17,12.15,63.27,3.51,Yes,Delivered,UPI,67,3
ORD2022000104,17-09-2022,Italian,725.08,R13,11:52,11:59,13:46,Monday,2,390.43,C026,11.55,66.88,10.33,59.32,5.08,Yes,Delivered,Cash,114,3
ORD2022000105,12-07-2022,Mexican,86.98,R30,01:59,02:04,03:49,Sunday,2,555.93,C036,11.04,71.24,11.66,71.76,1.89,Yes,Delivered,Cash,110,3
ORD2022000106,20-08-2022,Indian,791.63,R14,23:05,23:18,00:45,Thursday,2,420.13,C047,12.13,70.74,11.41,58.82,4.97,Yes,Delivered,UPI,100,4
ORD2022000107,04-08-2022,Burgers,320.87,R4,19:35,19:48,20:20,Wednesday,2,612.58,C092,10.56,70.16,9.87,72.92,4.76,Yes,Delivered,Cash,45,4
ORD2022000108,12-06-2022,Mexican,644.48,R21,13:00,13:08,13:55,Friday,2,520.5,C028,10.65,59.56,10.12,58.79,4.22,Yes,Delivered,UPI,55,3
ORD2022000109,21-02-2022,Dessert,182.32,R6,15:16,15:31,16:19,Sunday,2,565.64,C005,10.96,71.82,9.84,60.1,5.43,No,Delivered,UPI,63,3
ORD2022000110,11-11-2022,Thai,435.76,R32,07:38,07:49,08:27,Tuesday,2,157.03,C027,9.64,60.8,11.98,73.25,3.87,Yes,Delivered,Cash,49,4
ORD2022000111,21-03-2022,Thai,679.03,R30,07:02,07:15,08:43,Saturday,2,338.28,C006,11.83,62.68,10.34,74.3,2.28,No,Delivered,UPI,101,3
ORD2022000112,27-05-2022,Mexican,62.27,R35,18:12,18:18,19:11,Saturday,2,240.56,C066,10.33,65.25,12.42,63.16,4.63,Yes,Delivered,UPI,59,3
ORD2022000113,25-05-2022,Mexican,98.31,R41,03:24,03:39,03:56,Wednesday,1,301.2,C077,10.65,65.6,11.16,69.66,2.92,Yes,Delivered,UPI,32,3
ORD2022000114,08-10-2022,Dessert,378.03,R3,01:28,01:43,02:53,Thursday,2,495.46,C099,11.12,71.34,12.49,61.78,6.76,Yes,Delivered,UPI,85,3
ORD2022000115,15-03-2022,Sushi,517.63,R12,14:40,14:48,15:37,Wednesday,1,379.9,C025,10.9,64.99,12.49,58.24,5,No,Cancelled,UPI,57,4
ORD2022000116,02-07-2022,Burgers,882.51,R31,13:31,13:43,15:08,Saturday,1,645.72,C074,9.63,65.11,12.36,63.55,1.03,Yes,Delivered,UPI,97,3
ORD2022000117,13-01-2022,Burgers,609.05,R44,21:08,21:20,22:11,Saturday,2,471.01,C064,10.61,66.82,12.19,68.51,4.42,No,Cancelled,Cash,63,3
ORD2022000118,19-10-2022,Chinese,87.14,R16,11:00,11:11,12:54,Thursday,3,565.99,C040,10.12,63.76,9.44,66.69,2.66,Yes,Delivered,UPI,114,3
ORD2022000119,16-12-2022,Mexican,320.78,R44,07:17,07:32,08:44,Saturday,2,471.01,C064,10.61,66.82,12.19,68.51,4.42,No,Cancelled,Cash,87,3
ORD2022000120,22-12-2022,Dessert,605.69,R19,21:17,21:22,22:47,Friday,2,324.41,C025,12.47,66.28,12.5,74.35,5.79,No,Cancelled,UPI,90,2
ORD2022000121,26-12-2022,Burgers,716.84,R24,17:05,17:17,18:39,Thursday,1,714.57,C093,9.92,56.44,9.52,58.73,3.01,No,Delivered,UPI,94,2
ORD2022000122,01-01-2022,Burgers,559.49,R5,16:33,16:46,18:25,Wednesday,1,301.15,C088,10.03,59.1,10.4,71.97,2.87,Yes,Delivered,UPI,112,4
ORD2022000123,26-10-2022,Indian,555.64,R9,23:35,23:44,01:01,Friday,1,481.24,C084,11.32,71.76,9.9,56.29,2.51,Yes,Cancelled,Cash,86,4
ORD2022000124,01-08-2022,Thai,98.32,R24,11:24,11:34,12:10,Thursday,1,714.57,C093,9.92,56.44,9.52,58.73,3.01,No,Delivered,UPI,46,3
ORD2022000125,05-08-2022,Chinese,606.73,R14,20:15,20:30,21:21,Thursday,2,565.97,C029,12.11,56.94,11.4,73.65,4.19,Yes,Delivered,UPI,66,3
ORD2022000126,12-07-2022,Thai,165.15,R27,08:50,09:01,09:39,Saturday,1,627.03,C024,10.72,71.98,9.46,60.29,4.38,Yes,Delivered,UPI,49,4
ORD2022000127,25-05-2022,Sushi,702.11,R22,05:20,05:28,07:18,Saturday,1,709.18,C091,11.92,57.53,12.62,64.99,2.9,Yes,Delivered,UPI,118,4
ORD2022000128,24-09-2022,Burgers,193.6,R1,08:52,08:58,10:43,Thursday,1,345.72,C025,11.86,62.66,9.49,68.62,2.04,Yes,Delivered,UPI,111,4
ORD2022000129,11-12-2022,Dessert,79.13,R15,11:52,12:05,13:36,Sunday,2,288.16,C054,10.08,59.02,10.05,65.56,2.17,No,Delivered,UPI,104,4
ORD2022000130,25-10-2022,Burgers,772.24,R16,12:06,12:15,12:44,Friday,1,545.92,C084,11.76,63.1,11.15,72.51,1.31,Yes,Delivered,UPI,38,3
ORD2022000131,03-04-2022,Mexican,564.2,R28,12:49,12:59,14:33,Monday,2,643.26,C061,10.45,74.85,10.34,63.72,4.33,Yes,Cancelled,UPI,104,4
ORD2022000132,19-09-2022,Burgers,656.56,R5,14:12,14:26,15:24,Monday,2,373.17,C028,12.04,75.03,11.03,68.37,4.25,No,Delivered,Cash,72,3
ORD2022000133,18-08-2022,Chinese,83.62,R16,06:50,07:03,08:26,Friday,2,547.37,C005,10.01,58.81,11.31,62.24,5,Yes,Delivered,UPI,96,4
ORD2022000134,24-09-2022,Mexican,477.23,R3,11:37,11:51,13:28,Thursday,2,324.86,C039,9.7,66.18,10.76,69.23,2.87,Yes,Delivered,UPI,111,4
ORD2022000135,09-04-2022,Dessert,154.53,R23,03:53,04:06,05:13,Sunday,2,738.1,C013,10.71,72.89,9.85,68.2,2.27,Yes,Delivered,UPI,80,3
ORD2022000136,07-12-2022,Sushi,565.45,R48,10:31,10:37,12:09,Friday,2,434.87,C074,12.19,68.2,10.06,74.64,3.93,No,Delivered,Cash,98,4
ORD2022000137,16-05-2022,Burgers,203.48,R3,21:16,21:24,21:47,Thursday,1,561.55,C081,10.19,62.79,11.25,69.08,5.7,Yes,Delivered,UPI,31,3
ORD2022000138,14-01-2022,Dessert,207.11,R27,17:43,17:50,19:19,Sunday,1,479.92,C086,10.14,64.29,12.59,75.02,5.23,Yes,Delivered,Cash,96,3
ORD2022000139,22-02-2022,Chinese,625.16,R26,07:00,07:09,08:54,Wednesday,3,500.99,C055,12.4,62.88,9.39,71.98,2.46,No,Delivered,UPI,114,4
ORD2022000140,17-01-2022,Dessert,312.13,R19,17:26,17:39,19:14,Friday,1,283.8,C058,12.4,63.44,9.43,69.12,1.76,No,Delivered,UPI,108,3
ORD2022000141,13-06-2022,Thai,845.1,R43,15:38,15:48,17:09,Friday,1,332.08,C096,11.25,71.99,9.58,60.06,2.81,No,Delivered,Cash,91,3
ORD2022000142,18-10-2022,Burgers,771.08,R27,18:33,18:41,19:24,Sunday,1,479.92,C086,10.14,64.29,12.59,75.02,5.23,Yes,Delivered,Cash,51,4
ORD2022000143,09-08-2022,Thai,339.37,R27,19:24,19:29,21:21,Tuesday,1,410.32,C060,9.51,58.5,12.37,75.03,2.22,Yes,Delivered,UPI,117,3
ORD2022000144,16-02-2022,Sushi,267.36,R27,01:00,01:10,01:36,Tuesday,1,410.32,C060,9.51,58.5,12.37,75.03,2.22,Yes,Delivered,UPI,36,3
ORD2022000145,17-12-2022,Mexican,701.98,R38,02:01,02:16,02:50,Monday,1,321.21,C018,10.79,57.57,10.2,56.53,4.35,No,Delivered,Cash,49,3
ORD2022000146,22-05-2022,Sushi,98.84,R9,07:53,08:08,08:40,Thursday,1,621.86,C058,10.27,62.5,11.02,67.5,3.92,Yes,Delivered,Cash,47,3
ORD2022000147,07-06-2022,Indian,72.56,R33,12:39,12:51,13:46,Wednesday,2,415.95,C098,11.09,64.78,10.7,67.27,4.2,Yes,Delivered,Cash,67,4
ORD2022000148,11-05-2022,Italian,716.69,R16,03:03,03:15,04:31,Friday,2,547.37,C005,10.01,58.81,11.31,62.24,5,Yes,Delivered,UPI,88,4
ORD2022000149,07-11-2022,Mexican,607.39,R42,19:02,19:10,20:46,Saturday,2,632.83,C034,11.47,68.23,12.21,69.04,1.54,No,Delivered,UPI,104,3
ORD2022000150,04-07-2022,Indian,722.44,R42,23:07,23:22,00:52,Thursday,3,442.1,C051,10.6,65,10.24,67.26,4.16,No,Delivered,Cash,105,3
ORD2022000151,03-12-2022,Dessert,482.51,R12,04:18,04:30,05:05,Saturday,2,443.39,C045,12.67,74.44,10.26,56.08,2.79,Yes,Cancelled,Cash,47,3
ORD2022000152,04-08-2022,Mexican,613.57,R24,01:12,01:20,02:55,Friday,3,276.75,C047,12.19,63.68,11.88,61.41,4.04,Yes,Delivered,UPI,103,3
ORD2022000153,02-05-2022,Thai,517.67,R48,07:31,07:38,08:41,Tuesday,2,346.53,C008,11.13,60.38,9.79,56.86,2.84,Yes,Delivered,UPI,70,4
ORD2022000154,21-03-2022,Burgers,561.77,R26,14:38,14:44,15:39,Sunday,2,734.19,C042,11.1,66.27,10.31,65.62,1.6,Yes,Delivered,UPI,61,4
